dateRecord,batteryVoltage
28/11/2023 10:32,4.76
28/11/2023 10:32,4.77
28/11/2023 10:31,4.77
28/11/2023 10:31,4.77
28/11/2023 10:31,4.77
28/11/2023 10:31,4.77
28/11/2023 10:31,4.77
28/11/2023 10:31,4.76
28/11/2023 10:30,4.77
28/11/2023 10:30,4.77
28/11/2023 10:30,4.76
28/11/2023 10:30,4.76
28/11/2023 10:30,4.77
28/11/2023 10:29,4.77
28/11/2023 10:29,4.76
28/11/2023 10:29,4.77
28/11/2023 10:29,4.77
28/11/2023 10:29,4.76
28/11/2023 10:29,4.77
28/11/2023 10:28,4.77
28/11/2023 10:28,4.77
28/11/2023 10:28,4.76
28/11/2023 10:28,4.77
28/11/2023 10:28,4.77
28/11/2023 10:28,4.77
28/11/2023 10:27,4.78
28/11/2023 10:27,4.77
28/11/2023 10:27,4.77
28/11/2023 10:27,4.77
28/11/2023 10:27,4.76
28/11/2023 10:27,4.77
28/11/2023 10:26,4.77
28/11/2023 10:26,4.77
28/11/2023 10:26,4.77
28/11/2023 10:26,4.77
28/11/2023 10:26,4.77
28/11/2023 10:26,4.78
28/11/2023 10:25,4.78
28/11/2023 10:25,4.78
28/11/2023 10:25,4.77
28/11/2023 10:25,4.77
28/11/2023 10:25,4.78
28/11/2023 10:24,4.78
28/11/2023 10:24,4.78
28/11/2023 10:24,4.78
28/11/2023 10:24,4.78
28/11/2023 10:24,4.78
28/11/2023 10:24,4.78
28/11/2023 10:23,4.78
28/11/2023 10:23,4.78
28/11/2023 10:23,4.78
28/11/2023 10:23,4.78
28/11/2023 10:23,4.78
28/11/2023 10:23,4.78
28/11/2023 10:22,4.78
28/11/2023 10:22,4.78
28/11/2023 10:22,4.78
28/11/2023 10:22,4.78
28/11/2023 10:22,4.78
28/11/2023 10:22,4.78
28/11/2023 10:21,4.78
28/11/2023 10:21,4.78
28/11/2023 10:21,4.78
28/11/2023 10:21,4.78
28/11/2023 10:21,4.78
28/11/2023 10:20,4.78
28/11/2023 10:20,4.77
28/11/2023 10:20,4.78
28/11/2023 10:20,4.78
28/11/2023 10:20,4.78
28/11/2023 10:20,4.78
28/11/2023 10:19,4.78
28/11/2023 10:19,4.78
28/11/2023 10:19,4.78
28/11/2023 10:19,4.78
28/11/2023 10:19,4.78
28/11/2023 10:18,4.78
28/11/2023 10:18,4.79
28/11/2023 10:18,4.78
28/11/2023 10:18,4.78
28/11/2023 10:18,4.78
28/11/2023 10:17,4.79
28/11/2023 10:17,4.78
28/11/2023 10:17,4.79
28/11/2023 10:17,4.78
28/11/2023 10:17,4.78
28/11/2023 10:17,4.79
28/11/2023 10:16,4.78
28/11/2023 10:16,4.78
28/11/2023 10:16,4.79
28/11/2023 10:16,4.79
28/11/2023 10:16,4.78
28/11/2023 10:16,4.79
28/11/2023 10:15,4.79
28/11/2023 10:15,4.79
28/11/2023 10:15,4.79
28/11/2023 10:15,4.78
28/11/2023 10:15,4.79
28/11/2023 10:14,4.79
28/11/2023 10:14,4.79
28/11/2023 10:14,4.78
28/11/2023 10:14,4.79
28/11/2023 10:14,4.79
28/11/2023 10:13,4.79
28/11/2023 10:13,4.78
28/11/2023 10:13,4.79
28/11/2023 10:13,4.79
28/11/2023 10:13,4.79
28/11/2023 10:13,4.79
28/11/2023 10:12,4.79
28/11/2023 10:12,4.79
28/11/2023 10:12,4.78
28/11/2023 10:12,4.79
28/11/2023 10:12,4.79
28/11/2023 10:11,4.79
28/11/2023 10:11,4.79
28/11/2023 10:11,4.79
28/11/2023 10:11,4.79
28/11/2023 10:11,4.79
28/11/2023 10:11,4.79
28/11/2023 10:10,4.79
28/11/2023 10:10,4.79
28/11/2023 10:10,4.79
28/11/2023 10:10,4.79
28/11/2023 10:10,4.79
28/11/2023 10:09,4.79
28/11/2023 10:09,4.79
28/11/2023 10:09,4.79
28/11/2023 10:09,4.79
28/11/2023 10:09,4.79
28/11/2023 10:09,4.79
28/11/2023 10:08,4.79
28/11/2023 10:08,4.79
28/11/2023 10:08,4.79
28/11/2023 10:08,4.79
28/11/2023 10:08,4.79
28/11/2023 10:08,4.79
28/11/2023 10:07,4.79
28/11/2023 10:07,4.8
28/11/2023 10:07,4.8
28/11/2023 10:07,4.8
28/11/2023 10:07,4.8
28/11/2023 10:07,4.8
28/11/2023 10:06,4.8
28/11/2023 10:06,4.79
28/11/2023 10:06,4.79
28/11/2023 10:06,4.79
28/11/2023 10:06,4.8
28/11/2023 10:06,4.8
28/11/2023 10:05,4.8
28/11/2023 10:05,4.8
28/11/2023 10:05,4.8
28/11/2023 10:05,4.79
28/11/2023 10:05,4.8
28/11/2023 10:04,4.8
28/11/2023 10:04,4.8
28/11/2023 10:04,4.8
28/11/2023 10:04,4.8
28/11/2023 10:04,4.8
28/11/2023 10:04,4.8
28/11/2023 10:03,4.8
28/11/2023 10:03,4.8
28/11/2023 10:03,4.8
28/11/2023 10:03,4.8
28/11/2023 10:03,4.8
28/11/2023 10:03,4.8
28/11/2023 10:02,4.8
28/11/2023 10:02,4.8
28/11/2023 10:02,4.8
28/11/2023 10:02,4.8
28/11/2023 10:02,4.8
28/11/2023 10:02,4.8
28/11/2023 10:01,4.8
28/11/2023 10:01,4.8
28/11/2023 10:01,4.81
28/11/2023 10:01,4.8
28/11/2023 10:01,4.8
28/11/2023 10:01,4.81
28/11/2023 10:00,4.8
28/11/2023 10:00,4.8
28/11/2023 10:00,4.8
28/11/2023 10:00,4.8
28/11/2023 10:00,4.8
28/11/2023 09:59,4.81
28/11/2023 09:59,4.8
28/11/2023 09:59,4.81
28/11/2023 09:59,4.81
28/11/2023 09:59,4.81
28/11/2023 09:59,4.8
28/11/2023 09:58,4.8
28/11/2023 09:58,4.81
28/11/2023 09:58,4.81
28/11/2023 09:58,4.8
28/11/2023 09:58,4.8
28/11/2023 09:57,4.81
28/11/2023 09:57,4.81
28/11/2023 09:57,4.81
28/11/2023 09:57,4.8
28/11/2023 09:57,4.81
28/11/2023 09:57,4.8
28/11/2023 09:56,4.8
28/11/2023 09:56,4.81
28/11/2023 09:56,4.81
28/11/2023 09:56,4.81
28/11/2023 09:56,4.81
28/11/2023 09:55,4.81
28/11/2023 09:55,4.81
28/11/2023 09:55,4.81
28/11/2023 09:55,4.81
28/11/2023 09:55,4.81
28/11/2023 09:55,4.81
28/11/2023 09:54,4.81
28/11/2023 09:54,4.81
28/11/2023 09:54,4.81
28/11/2023 09:54,4.81
28/11/2023 09:54,4.81
28/11/2023 09:54,4.81
28/11/2023 09:53,4.81
28/11/2023 09:53,4.81
28/11/2023 09:53,4.81
28/11/2023 09:53,4.81
28/11/2023 09:53,4.81
28/11/2023 09:53,4.81
28/11/2023 09:52,4.81
28/11/2023 09:52,4.81
28/11/2023 09:52,4.81
28/11/2023 09:52,4.81
28/11/2023 09:51,4.81
28/11/2023 09:51,4.81
28/11/2023 09:51,4.81
28/11/2023 09:51,4.81
28/11/2023 09:51,4.81
28/11/2023 09:51,4.81
28/11/2023 09:50,4.81
28/11/2023 09:50,4.81
28/11/2023 09:50,4.81
28/11/2023 09:50,4.81
28/11/2023 09:50,4.81
28/11/2023 09:50,4.81
28/11/2023 09:49,4.81
28/11/2023 09:49,4.81
28/11/2023 09:49,4.81
28/11/2023 09:49,4.81
28/11/2023 09:49,4.81
28/11/2023 09:48,4.81
